"Carrer La Font del Salom"	"Carrer La Font del Salom"			""	""	""	""	"way"	" 257554954"	""	"{'highway': 'residential', 'name': 'Carrer La Font del Salom'}"
"Carrer La Font del Salom"	"Carrer La Font del Salom"			""	""	""	""	"way"	" 755333480"	""	"{'highway': 'primary_link', 'name': 'Carrer La Font del Salom', 'oneway': 'yes'}"
"Carrer La Font del Salom"	"Carrer La Font del Salom"			""	""	""	""	"way"	" 257554951"	""	"{'highway': 'residential', 'name': 'Carrer La Font del Salom', 'oneway': 'yes'}"
"Carrer Montserrat"	"Carrer Montserrat"			""	""	""	""	"way"	" 157558945"	""	"{'highway': 'residential', 'name': 'Carrer Montserrat', 'oneway': 'yes'}"
"Carrer Montserrat"	"Carrer Montserrat"			""	""	""	""	"way"	" 257559618"	""	"{'highway': 'residential', 'name': 'Carrer Montserrat', 'oneway': 'yes'}"
"Carrer Pau Casals"	"Carrer Pau Casals"			""	""	""	""	"way"	" 797350508"	""	"{'highway': 'residential', 'name': 'Carrer Pau Casals', 'oneway': 'yes'}"
"Carrer Pau Casals"	"Carrer Pau Casals"			""	""	""	""	"way"	" 797350509"	""	"{'highway': 'residential', 'name': 'Carrer Pau Casals', 'oneway': 'yes'}"
"Carrer Pau Casals"	"Carrer Pau Casals"			""	""	""	""	"way"	" 157558871"	""	"{'highway': 'residential', 'name': 'Carrer Pau Casals', 'oneway': 'yes'}"
"Carrer Til·lers"	"Carrer Til·lers"			""	""	""	""	"way"	"  87991114"	""	"{'highway': 'residential', 'name': 'Carrer Til·lers'}"
"Carrer Via Augusta"	"Carrer Via Augusta"			""	""	""	""	"way"	" 719425245"	""	"{'highway': 'residential', 'name': 'Carrer Via Augusta'}"
"Carrer Via Augusta"	"Carrer Via Augusta"			""	""	""	""	"way"	"  99543437"	""	"{'highway': 'residential', 'name': 'Carrer Via Augusta'}"
"Plaça de Catalunya"	"Plaça de Catalunya"			""	""	""	""	"way"	" 560562443"	""	"{'name': 'Plaça de Catalunya', 'place': 'square'}"
"Plaça de l'Ajuntament"	"Plaça de l'Ajuntament"			""	""	""	""	"way"	" 562030104"	""	"{'name': \"Plaça de l'Ajuntament\", 'place': 'square'}"
"Plaça de la Olivera"	"Plaça de la Olivera"			""	""	""	""	"node"	"5407709198"	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Plaça de la Olivera', 'operator': 'Sagalés/Transbages', 'public_transport': 'platform'}"
