"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","id","type","name","parcial","admin_level","historic:admin_level","nCasosEditat","nObjectesEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Principat","Pallars Jussà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Pallars Jussà_name-calle.tsv",2810954,"relation","Pallars Jussà",FALSE,7,0,0,0,0,0
"Principat","Pallars Sobirà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Pallars Sobirà_name-calle.tsv",2810705,"relation","Pallars Sobirà",FALSE,7,0,0,0,0,0
"Principat","Pla d'Urgell",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Pla d'Urgell_name-calle.tsv",2819346,"relation","Pla d'Urgell",FALSE,7,0,0,0,0,0
"Principat","Pla de l'Estany",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Pla de l'Estany_name-calle.tsv",2807146,"relation","Pla de l'Estany",FALSE,7,0,0,0,0,0
"Principat","Priorat",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Priorat_name-calle.tsv",2826145,"relation","Priorat",FALSE,7,0,0,0,0,0
"Principat","Ribera d'Ebre",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Ribera d'Ebre_name-calle.tsv",2829952,"relation","Ribera d'Ebre",FALSE,7,0,0,0,0,0
"Principat","Ripollès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Ripollès_name-calle.tsv",2806754,"relation","Ripollès",FALSE,7,0,0,0,0,0
"Principat","Segarra",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Segarra_name-calle.tsv",2815579,"relation","Segarra",FALSE,7,0,0,0,0,0
"Principat","Segrià",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Segrià_name-calle.tsv",2819857,"relation","Segrià",FALSE,7,0,0,0,0,0
"Principat","Selva",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Selva_name-calle.tsv",368462,"relation","Selva",FALSE,7,0,0,0,0,0
"Principat","Solsonès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Solsonès_name-calle.tsv",2809162,"relation","Solsonès",FALSE,7,0,0,0,0,0
"Principat","Tarragonès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Tarragonès_name-calle.tsv",2822691,"relation","Tarragonès",FALSE,7,0,0,0,0,0
"Principat","Terra Alta",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Terra Alta_name-calle.tsv",2829953,"relation","Terra Alta",FALSE,7,0,0,0,0,0
"Principat","Urgell",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Urgell_name-calle.tsv",2818895,"relation","Urgell",FALSE,7,0,0,0,0,0
"Principat","Vallès Occidental",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Vallès Occidental_name-calle.tsv",2350067,"relation","Vallès Occidental",FALSE,7,0,0,0,0,0
"Principat","Vallès Oriental",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Vallès Oriental_name-calle.tsv",2417929,"relation","Vallès Oriental",FALSE,7,0,0,0,0,0
"Sardenya","L'Alguer",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Sardenya-L'Alguer_name-calle.tsv",40581,"relation","Alghero - L'Alguer",FALSE,8,0,0,0,0,0
