"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81996);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"node"	1612925177	"Костино"			""	"Kostino"	""	"Q4235402"	"official_name=деревня Костино"	"{'addr:country': 'RU', 'addr:district': 'Гагаринский район', 'addr:region': 'Смоленская область', 'name': 'Костино', 'official_name': 'деревня Костино', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4235402', 'wikipedia': 'ru:Костино (Гагаринский район)'}"
"way"	548463841	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	383039577	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	383039597	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	548450496	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	30654363	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	382867339	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	382867340	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	382867341	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
"way"	382867362	"Ипуть"			""	"Iput'"	""	"Q1813407"	"int_name=Ipuć, name:be=Іпуць, name:lt=Iputė, name:pl=Ipuć, name:ru=Ипуть"	"{'boat': 'no', 'int_name': 'Ipuć', 'name': 'Ипуть', 'name:be': 'Іпуць', 'name:lt': 'Iputė', 'name:pl': 'Ipuć', 'name:ru': 'Ипуть', 'waterway': 'river', 'wikidata': 'Q1813407', 'wikipedia': 'ru:Ипуть'}"
