"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas de Llorenç"	"Mas de Llorenç"						
"Mas de Balandrer"	"Mas de Balandrer"						
"Mas Voltor"	"Mas Voltor"						
"Mas de Batistó"	"Mas de Batistó"						
"Hort de Sant Antoni"	"Hort de Sant Antoni"						
"Mas de Maseró"	"Mas de Maseró"						
"Mas del Cor"	"Mas del Cor"						
"Mas de Raspall"	"Mas de Raspall"						
"Mas de Llopis"	"Mas de Llopis"						
"Mas de la Flor del Camp"	"Mas de la Flor del Camp"						
"Mas de les Destrals"	"Mas de les Destrals"						
"Mas de Moliner"	"Mas de Moliner"						
"Mas de Simonet"	"Mas de Simonet"						
"Mas del Bruno"	"Mas del Bruno"						
"Mas del Pep de la Paula"	"Mas del Pep de la Paula"						
"Mas de Gassol"	"Mas de Gassol"						
"Mas de Sant Josep"	"Mas de Sant Josep"						
"Mas de Faló"	"Mas de Faló"						
"Mas de l'Escoté"	"Mas de l'Escoté"						
"Mas de Joan Conilles"	"Mas de Joan Conilles"						
"Mas del Roig"	"Mas del Roig"						
"Mas de Geperut"	"Mas de Geperut"						
"Mas de Busquets"	"Mas de Busquets"						
"Mas de Badejo"	"Mas de Badejo"						
"Mas de Carrascot"	"Mas de Carrascot"						
"Mas de Llorell"	"Mas de Llorell"						
"Bosc de Candieta"	"Bosc de Candieta"						
"Bosc de Biscorn"	"Bosc de Biscorn"						
"Mas de Carquinyola"	"Mas de Carquinyola"						
"Mas de l'Abellar"	"Mas de l'Abellar"						
"Mas de Picafocs"	"Mas de Picafocs"						
"Mas de l'illa"	"Mas de l'illa"						
"Bosc del Manou"	"Bosc del Manou"						
"Mas de Sant Blai"	"Mas de Sant Blai"						
"Mas de Jano"	"Mas de Jano"						
"Castell de Sant Blai"	"Castell de Sant Blai"			"Castell de Sant Blai, castell de Sant Blai"	"Castell de Sant Blai"	"castle"	"Q20985573"
"Mas de Samarra"	"Mas de Samarra"						
"Mas de Montbaix"	"Mas de Montbaix"						
"Mas de Pinver"	"Mas de Pinver"						
"Mas del Bo"	"Mas del Bo"						
"Mas de Peles"	"Mas de Peles"						
"mas de l'Eloi"	"mas de l'Eloi"						
"Mas de l'Estadella"	"Mas de l'Estadella"						
"Mas Veset"	"Mas Veset"						
"Mas de Panerer"	"Mas de Panerer"						
"Mas de Pallisser"	"Mas de Pallisser"						
"Mas de Catan"	"Mas de Catan"						
"Mas d'en Tamboner"	"Mas d'en Tamboner"						
"Mas d'en Reboig"	"Mas d'en Reboig"						
"Mas de Jaume de la Salvadora"	"Mas de Jaume de la Salvadora"						
"Mas de la Toa"	"Mas de la Toa"						
"Mas de Mioma"	"Mas de Mioma"						
"Mas del Bielet"	"Mas del Bielet"						
"Mas de Fontit"	"Mas de Fontit"						
"Mas dels Alemanys"	"Mas dels Alemanys"						
"Mas de la Devesa"	"Mas de la Devesa"						
"Mas de l'Esquerrer"	"Mas de l'Esquerrer"						
"Mas dela Devesa"	"Mas de la Devesa"						
"Mas de Rioles"	"Mas de Rioles"						
"Mas de Bep de Roc"	"Mas de Bep de Roc"						
"Mas de Ca l'Istro"	"Mas de Ca l'Istro"						
"Mas de Simetries"	"Mas de Simetries"						
"Mas de la Cuna"	"Mas de la Cuna"						
"Mas de Rojals"	"Mas de Rojals"						
"Mas de Verdura"	"Mas de Verdura"						
"Ajuntament de Tivissa"	"Ajuntament de Tivissa"						
"Mas de Serrano"	"Mas de Serrano"						
"Mas de les Meliques"	"Mas de les Meliques"						
